Temperature logger

#Date	#Time	#Temperature
2017.04.20	06:00:37,0998	159,351
2017.04.20	06:01:07,1068	159,346
2017.04.20	06:01:37,1308	159,338
2017.04.20	06:02:07,1438	159,347
2017.04.20	06:02:37,1458	159,344
2017.04.20	06:03:07,1688	159,342
2017.04.20	06:03:37,0958	159,340
2017.04.20	06:04:07,1028	159,342
2017.04.20	06:04:37,1108	159,344
2017.04.20	06:05:07,1178	159,344
2017.04.20	06:05:37,1408	159,350
2017.04.20	06:06:07,1528	159,355
2017.04.20	06:06:37,1718	159,364
2017.04.20	06:07:07,0828	159,372
2017.04.20	06:07:37,0908	159,372
2017.04.20	06:08:07,1138	159,373
2017.04.20	06:08:37,1058	159,373
2017.04.20	06:09:07,1288	159,375
2017.04.20	06:09:37,1358	159,377
2017.04.20	06:10:07,1658	159,374
2017.04.20	06:10:37,0868	159,378
2017.04.20	06:11:07,0778	159,379
2017.04.20	06:11:37,1018	159,379
2017.04.20	06:12:07,1138	159,375
2017.04.20	06:12:37,1318	159,379
2017.04.20	06:13:07,1438	159,381
2017.04.20	06:13:37,1478	159,389
2017.04.20	06:14:07,0738	159,391
2017.04.20	06:14:37,0818	159,390
2017.04.20	06:15:07,1048	159,385
2017.04.20	06:15:37,1118	159,385
2017.04.20	06:16:07,1188	159,384
2017.04.20	06:16:37,1428	159,384
2017.04.20	06:17:07,1498	159,388
2017.04.20	06:17:37,1568	159,388
2017.04.20	06:18:07,0848	159,389
2017.04.20	06:18:37,0918	159,389
2017.04.20	06:19:07,1148	159,384
2017.04.20	06:19:37,1228	159,388
2017.04.20	06:20:07,1298	159,397
2017.04.20	06:20:37,1528	159,401
2017.04.20	06:21:07,1608	159,408
2017.04.20	06:21:37,0718	159,407
2017.04.20	06:22:07,0948	159,405
2017.04.20	06:22:37,1028	159,402
2017.04.20	06:23:07,1258	159,404
2017.04.20	06:23:37,1338	159,403
2017.04.20	06:24:07,1568	159,405
2017.04.20	06:24:37,1478	159,406
2017.04.20	06:25:07,0918	159,403
2017.04.20	06:25:37,0988	159,397
2017.04.20	06:26:07,1258	159,393
2017.04.20	06:26:37,1138	159,396
2017.04.20	06:27:07,1208	159,405
2017.04.20	06:27:37,1438	159,402
2017.04.20	06:28:07,1518	159,407
2017.04.20	06:28:37,1588	159,401
2017.04.20	06:29:07,0868	159,401
2017.04.20	06:29:37,1098	159,398
2017.04.20	06:30:07,1328	159,402
2017.04.20	06:30:37,1238	159,398
2017.04.20	06:31:07,1318	159,402
2017.04.20	06:31:37,1548	159,404
2017.04.20	06:32:07,1618	159,409
2017.04.20	06:32:37,0898	159,407
2017.04.20	06:33:07,1448	159,416
2017.04.20	06:33:37,1038	159,419
2017.04.20	06:34:07,1278	159,416
2017.04.20	06:34:37,1368	159,424
2017.04.20	06:35:07,1418	159,424
2017.04.20	06:35:37,1658	159,421
2017.04.20	06:36:07,0768	159,413
2017.04.20	06:36:37,1158	159,410
2017.04.20	06:37:07,0918	159,408
2017.04.20	06:37:37,1148	159,406
2017.04.20	06:38:07,1218	159,409
2017.04.20	06:38:37,1458	159,419
2017.04.20	06:39:07,1528	159,412
2017.04.20	06:39:37,0808	159,416
2017.04.20	06:40:07,0878	159,426
2017.04.20	06:40:37,0948	159,434
2017.04.20	06:41:07,1188	159,441
2017.04.20	06:41:37,1258	159,435
2017.04.20	06:42:07,1338	159,436
2017.04.20	06:42:37,1608	159,440
2017.04.20	06:43:07,1638	159,443
2017.04.20	06:43:37,0908	159,433
2017.04.20	06:44:07,0988	159,430
2017.04.20	06:44:37,1058	159,428
2017.04.20	06:45:07,1288	159,424
2017.04.20	06:45:37,1358	159,424
2017.04.20	06:46:07,1438	159,427
2017.04.20	06:46:37,1668	159,427
2017.04.20	06:47:07,1268	159,425
2017.04.20	06:47:37,1018	159,433
2017.04.20	06:48:07,1088	159,438
2017.04.20	06:48:37,1328	159,441
2017.04.20	06:49:07,1398	159,440
2017.04.20	06:49:37,1318	159,435
2017.04.20	06:50:07,1548	159,445
2017.04.20	06:50:37,0978	159,442
2017.04.20	06:51:07,1048	159,443
2017.04.20	06:51:37,1128	159,448
2017.04.20	06:52:07,1038	159,448
2017.04.20	06:52:37,1268	159,444
